block,rate,spam,total
23650920,10,5,49
23650921,10,5,49
23650922,0,0,41
23650923,0,0,44
23650924,0,0,41
23650925,0,0,40
23650926,0,0,43
23650927,11,5,47
23650928,0,0,45
23650929,0,0,38
23650930,0,0,44
23650931,14,6,44
23650932,0,0,52
23650933,0,0,38
23650934,45,57,127
23650935,71,121,170
23650936,79,220,279
23650937,78,211,272
23650938,72,184,255
23650939,61,115,190
23650940,76,128,169
23650941,62,100,162
23650942,61,81,133
23650943,51,57,112
23650944,7,12,174
23650945,17,59,339
23650946,90,273,305
23650947,84,223,267
23650948,86,234,271
23650949,54,125,233
23650950,68,118,173
23650951,85,191,225
23650952,61,88,144
23650953,16,13,81
23650954,0,0,53
23650955,30,18,60
23650956,73,167,228
23650957,0,0,0
23650958,32,54,167
23650959,0,0,81
23650960,0,0,0
23650961,0,0,0
23650962,0,0,94
23650963,0,0,68
23650964,0,0,41
23650965,0,0,0
23650966,0,0,117
23650967,0,0,49
23650968,5,5,105
23650969,0,0,0
23650970,10,11,109
23650971,0,0,84
23650972,0,0,210
23650973,0,0,0
23650974,0,0,138
23650975,0,0,0
23650976,19,30,159
23650977,56,82,146
23650978,15,16,107
23650979,0,0,0
23650980,0,0,0
23650981,8,8,96
23650982,0,0,124
23650983,76,209,274
23650984,0,0,50
23650985,70,163,234
23650986,28,30,109
23650987,18,19,105
23650988,9,5,54
23650989,6,5,88
23650990,0,0,0
23650991,20,28,139
23650992,24,19,78
23650993,0,0,0
23650994,13,14,108
23650995,6,5,89
23650996,0,0,64
23650997,0,0,0
23650998,0,0,83
23650999,0,0,0
23651000,0,0,80
23651001,0,0,66
23651002,26,24,94
23651003,0,0,0
23651004,0,0,88
23651005,0,0,0
23651006,5,5,93
23651007,15,12,81
23651008,26,36,139
23651009,12,15,130
23651010,17,14,84
23651011,35,70,201
23651012,46,65,141
23651013,38,55,143
23651014,6,5,86
23651015,30,23,77
23651016,7,5,72
23651017,0,0,56
23651018,0,0,56
